Country Name,state,value
Aruba,ABW,73.075
Andorra,AND,
Afghanistan,AFG,59.193
Angola,AGO,50.802
Albania,ALB,75.369
Arab World,ARB,68.7575953
United Arab Emirates,ARE,76.295
Argentina,ARG,72.443
Armenia,ARM,70.944
American Samoa,ASM,
Antigua and Barbuda,ATG,73.543
Australia,AUS,80.3
Austria,AUT,78.8
Azerbaijan,AZE,67.692
Burundi,BDI,54.753
Belgium,BEL,78.1
Benin,BEN,58.114
Burkina Faso,BFA,57.307
Bangladesh,BGD,70.402
Bulgaria,BGR,71.7
Bahrain,BHR,75.774
"Bahamas, The",BHS,72.28
Bosnia and Herzegovina,BIH,73.963
Belarus,BLR,68
Belize,BLZ,67.355
Bermuda,BMU,77.09
Bolivia,BOL,65.944
Brazil,BRA,70.737
Barbados,BRB,73.153
Brunei Darussalam,BRN,76.993
Bhutan,BTN,69.221
Botswana,BWA,62.139
Central African Republic,CAF,48.849
Canada,CAN,80.021
Central Europe and the Baltics,CEB,72.9881376
Switzerland,CHE,80.8
Channel Islands,CHI,78.726
Chile,CHL,78.644
China,CHN,74.293
Cote d'Ivoire,CIV,50.743
Cameroon,CMR,54.363
"Congo, Rep.",COG,60.837
Colombia,COL,70.499
Comoros,COM,61.631
Cabo Verde,CPV,71.367
Costa Rica,CRI,77.011
Caribbean small states,CSS,70.17299706
Cuba,CUB,77.384
Curacao,CUW,74.8
Cayman Islands,CYM,
Cyprus,CYP,77.974
Czech Republic,CZE,75.3
Germany,DEU,78.6
Djibouti,DJI,60.436
Dominica,DMA,
Denmark,DNK,78.5
Dominican Republic,DOM,70.441
Algeria,DZA,72.512
East Asia & Pacific (excluding high income),EAP,72.12193771
Early-demographic dividend,EAR,67.23328802
East Asia & Pacific,EAS,72.87718875
Europe & Central Asia (excluding high income),ECA,67.66538529
Europe & Central Asia,ECS,73.64663239
Ecuador,ECU,73.192
"Egypt, Arab Rep.",EGY,68.99
Euro area,EMU,79.03123899
Eritrea,ERI,61.564
Spain,ESP,80.2
Estonia,EST,72.8
Ethiopia,ETH,62.156
European Union,EUU,78.04052975
Fragile and conflict affected situations,FCS,60.03100059
Finland,FIN,78.3
Fiji,FJI,67.154
France,FRA,79.3
Faroe Islands,FRO,79.4
"Micronesia, Fed. Sts.",FSM,68.144
Gabon,GAB,63.759
United Kingdom,GBR,79.3
Georgia,GEO,71.154
Ghana,GHA,60.357
Gibraltar,GIB,
Guinea,GIN,58.271
"Gambia, The",GMB,58.906
Guinea-Bissau,GNB,53.422
Equatorial Guinea,GNQ,56.329
Greece,GRC,78.7
Grenada,GRD,70.999
Greenland,GRL,
Guatemala,GTM,68.279
Guam,GUM,76.567
Guyana,GUY,64.163
High income,HIC,78.04416787
"Hong Kong SAR, China",HKG,81.2
Honduras,HND,70.684
Heavily indebted poor countries (HIPC),HPC,59.3339409
Croatia,HRV,74.5
Haiti,HTI,60.665
Hungary,HUN,72.8
IBRD only,IBD,69.97000122
IDA & IBRD total,IBT,67.83647659
IDA total,IDA,61.77432676
IDA blend,IDB,61.6316701
Indonesia,IDN,66.868
IDA only,IDX,61.8548422
Isle of Man,IMN,
India,IND,66.606
Not classified,INX,
Ireland,IRL,79.3
"Iran, Islamic Rep.",IRN,74.302
Iraq,IRQ,67.227
Iceland,ISL,80.5
Israel,ISR,80.3
Italy,ITA,80.3
